author,content,publish_time,site_name,title,url
,"An agricultural show which was first held in Lancashire more 200 years ago will launch again later.
The Garstang Show aims to bring the local community together to celebrate the role of farming, food and the countryside.
Events in the main ring will include horse and cattle shows, and a history of agriculture through the decades will show off a display of tractors and vintage farm machinery.
Exhibitor Emma Benson said: ""It's a very important event. We love supporting our local shows, getting out and meeting all the local people.""
The first Garstang Show was held in 1813 and featured sweepstakes and prizes or “premiums” - dished out for the most impressive crops and stock.
Rivalry from other local shows in Goosnargh, Lytham and Gt Eccleston caused entries and attendances to decline and shows lapsed around 1840, before re-starting about 1855.
Secretary Gill Billington said one highlights of this year's one-day spectacular is ""a performance where you can see tractors through the ages"".
She said: ""We start with the vintage from the 1950s showing how tractors, farming and agriculture has changed, and showing the different machines and how things have progressed. 
""And we will end showing the next generation of farmers and how they are going to take on the mantle and move food production forward.""
Organiser Helen Smith said there will be about 1,000 entries in the horticulture marquee ""ranging from floral art to people growing fruit and vegetables"".
""There's a lot of work goes in to putting it all together"", she added. ""But it's an absolute spectacle.""
",,bbc,Historic country show to celebrate farming and food,
,"In the family tree of British apples, there have long been some prominent holes. It's the equivalent of a great-grandfather whose name has been forgotten. He's there in all the old photographs, staring out at you. But who is he?
The DNA of some apple varieties, for instance, shows that they are descended from a lost tree, one that must have existed, but whose identity is unknown. Scientists called this ""ghost apple"", a parent of varieties like 
 and 
, Unknown Founder 8.
DNA is no longer the 
, however. Apple fanatics across the UK are now taking samples from very old apple trees in hopes of learning more about antique varieties, and perhaps making some surprising discoveries.
Most apples are grafts, or clones, of trees that grew long ago, so these old trees may be varieties you can't buy anymore, as traditional favourites have lost out to modern industrial crops. For anyone interested, in the spring, you can pick a few bright green new leaves from an ancient tree in your back garden, and send them off to a laboratory. If someone's sent in a sample before that's been confidently identified as a particular variety, you'll get a match.
When John Teiser, a Hereford-based apple maven, lays this all out for me, leaning on a paddock gate in an orchard, I can tell he's tickled to bits. Just last week, Teiser got an email from his friend Ainsleigh Rice, part of the 
 in the Welsh Marches. He had some big news: Unknown Founder 8 is unknown no more. They got a match for its DNA from a tree in Gloucestershire.
The identification of Unknown Founder 8 is just one of the discoveries people are making as they bring British apples into the DNA age, making it easier to identify and preserve what's left. It's a heady time for apple enthusiasts like Teiser. I can hear the excitement in his voice.
Right in front of us, in fact, is a potential source for more surprises. In this paddock and the next one, surrounded by busily munching sheep, there are more than 150 different types of cider apple tree. They were all made by taking grafts from a now-decrepit orchard planted nearly a century ago by Bulmer's, the cider maker. Teiser manages this collection under an agreement with the charitable trust that runs the 
, a short drive away through tiny country lanes on the outskirts of Hereford, close to the border between England and Wales.
Though these trees have had a basic genetic identification, Teiser hopes to have a more in-depth sequence run at some point, one that could give more details about how these trees fit into the family tree.
Teiser is also waiting to hear back about the DNA results from another old collection nearby. He is very curious about what that might show.
That's because there are apples, documented in 19th-Century books like 
, that have slipped through people's fingers. There's the 
, a cider apple that was once incredibly common, 400 years ago, in the Forest of Dean: the last known confirmed example was destroyed in the mid 20th Century. There's the 
, a cider variety Teiser encountered once as a young man. Although there are other apples with that name out there, none of them match the one he knew, which was lost when the tree that produced the fruit was uprooted for a driveway. 
It's his pomological White Whale, the apple that haunts his thoughts.
With more detailed information from DNA analysis, Teiser and others on the hunt for lost varieties can rule candidate apples out. There was one apple in another Bulmer's orchard, for instance, that had been labeled ""Upright Medaille d'Or"" in an old plan. The fruit seemed a close match for Hogg's descriptions of the Forest Styre. Teiser was intrigued. ""I thought well, could this be the lost Forest Styre?"" he said. Genetic testing revealed, however, that the apple was in fact a close match for a French variety. The case of the missing Forest Styre remains open.
Undaunted, Teiser is always on the lookout for apples that may be an ancient variety in disguise. In fact, he and Rice think they have uncovered just such an apple, documented by Robert Hogg in 1884. It's been going by the name Freetown Yellow, but Teiser and Rice have put together a detailed argument that is actually the 
, a greenish-yellow cider apple.
Putting the right names to old things matters: British apples are part of a heritage that goes back centuries, and though apple orchards have dwindled in the country, there are people willing to put in the time and effort to keep alive these varieties, which are often adapted to the particular conditions here. Charles Martell, a Gloucester cheese maker and apple expert, for instance, has made a career of finding and 
. It was an apple he found in 1993 that turned out to match Unknown Founder 8.    
Unknown Founder 8 was revealed to be a tree called the 
. It has lime green fruit, with a pale pink flush, Martell wrote in a description in his book Native Apples of Gloucestershire. It's a cooking apple, best stewed or in a tart. And some time, way back when, it was a parent to many far better-known varieties.
Back in the Museum of Cider in Hereford, Teiser examines apple portraits made by a watercolorist long ago to accompany Robert Hogg's descriptions of fruit. The Golden Winter Permain, the Kentish Pippin, the Golden Spire – they seem to leap off the paper, round and ready to be picked.
For now, Teiser eagerly awaits his next batch of DNA results. There's one particular orchard, with a few very old trees, for which he is greatly looking forward to getting back the results. ""It was in a similar orchard that we discovered the lost Kempley Red (aka Carrion Apple!) last year,"" he writes to me in an email. I looked up the Kempley Red in Hogg's book: the watercolour shows it red with striations of crimson and yellow. It's a winsome thing and worth looking for.
--
",,bbc,The apple detectives hunting for lost varieties,
,"The Stithians Show - said to be Cornwall's biggest one-day agricultural event - has opened for 2024. 
The show, which has been running since 1834, is at its traditional venue of the Stithians Showground. 
Show chairman Nigel Vague said he was expecting about 15,000 to 18,000 visitors. 
For those attending, he said there was an ""excellent traffic management team"" so there ""won't be any problems with transport"". 
Discussing what visitors could expect, Mr Vague said: ""We cover everything from cattle, horses, sheep and we got pigs this year, which is a big new section for us.""
However, one absentee at this year's show is poultry 
. 
""We made it [the decision] in good time as we could see there was going to be a problem, so, unfortunately, we had to make that decision,"" said Mr Vague. 
He said the organisers were ""sorry"" to not have poultry but that he did not think it would affect visitor numbers. 
Mr Vague said: ""There are plenty of other attractions and other things, like the dog show, goats, sheep - there is just plenty for people to see.""
",,bbc,Stithians Show continues 190-year tradition,
,"Thousands of people are expected to attend what's described as one of the UK's biggest one-day agricultural shows this weekend.
The Oswestry Show in Shropshire, which attracts about 15,000 people every year, will be held for the 137th time on Saturday.
There will be more than 120 trade stands, hundreds of exhibitors and a large variety of displays and activities for people to enjoy.
The show’s chairman David Kempster told BBC Radio Shropshire he was looking forward to welcoming visitors and hoping for good weather after downpours last year.
“There is lots for everybody to see, agricultural and non-agricultural,” he said.
Mr Kempster said he was a third generation chairman of the show, following in the footsteps of his father and grandfather.
The event was first held in 1862.
He said there was a sense of pride in being the third member of his family to take the reins.
He added: “But also, there is a great sense of pride in what the show provides for the local community and how it promotes agriculture in the area.”
Mr Kempster said it would be a busy day for him but added that he was looking forward to having a look around and seeing what everybody has put together.
",,bbc,Agricultural show prepares for 137th event,
,"The Royal Welsh Show got under way on Monday, marking 120 years since the annual agricultural show first began. 
The four-day event, held at Llanelwedd, near Builth Wells in Powys, usually attracts about 250,000 people from 40 different countries.
It is an agricultural festival that takes place every summer and aims to showcase the best of Welsh livestock.
This year's event begins on 22 July and ends on 25 July.
There are various events which take place each year, including the judging of sheep, cattle, pigs and horses, sheepdog trials and carriage driving displays.
There are also stalls and exhibitions, displays of country sports and traditional Welsh crafts.
It is not unusual for the show to welcome a royal visitor.
King Charles III was recently made patron of the Royal Welsh Agricultural Society and has visited the festival a number of times - including in 2013, the day after his first grandson, Prince George, was born.
A member of the crowd greeted him with a cry of 
There are a variety of competitions that take place throughout the four days.
Many of these involve livestock, such as horses, cattle, sheep, pigs and goats, with almost 7,000 animals being exhibited.
There is also a variety of non-livestock competitions - ranging from floral displays to stick making, wood chopping and a tug-of-war.
This year there will also be a horticultural village, featuring a variety of gardens with different themes.
The show's director, Richard Price, said the new village would be ""a celebration of community and commercial growing"".
It is due to be officially opened by BBC Gardeners' World presenter Sue Kent.
What many visitors regard as the highlight of the week is cob day, which is traditionally held on Wednesday afternoon.
More than 50 Welsh cobs - horses - are paraded in front of a packed crowd before being judged in the main ring.
They compete for the ultimate prize, the George Prince of Wales Cup.
The show takes place in the village of Llanelwedd at the permanent Royal Welsh Showground, a 150-acre site built in 1963.
Before the showground was built, the annual agricultural show was held at no fewer than 37 different locations, alternating between north and south of Wales.
The showground is located where the A470 and A483 cross and free parking is available at the bottom end of the showground.
There are free park and ride car parks on all the main routes to the showground, with buses running between 07:30 BST and 21:30 each day.
For visitors coming by train, the nearest station is at Builth Road, just over one mile (1.6km) away from the showground.
The T4 bus route between Newtown and Cardiff stops at both Builth Wells and Llanelwedd, a short distance from the showground.
BBC Wales Today will 
 from The Royal Welsh Showground, with a special Wales Today programme at 20:00 on Thursday.
Welsh language viewers will find S4C broadcasting live from The Royal Welsh Show every day from 09:00 to 17:00.
It is too early to say for sure, but the forecast for the first half of the show appears to be dry, if a little cloudy, with average temperatures of about 19C (66F).
You can keep up to date with the latest weather forecasts for Builth Wells 
.
",,bbc,Royal Welsh Show 2024 - what you need to know,
,"Farmers have fought back against a proposal to switch a council in Devon to plant-based catering and encourage a shift to plant-based farming.
The plan was condemned as ""idiotic"" and ""a slap in the face for farmers"" at a North Devon Council meeting on Wednesday.
Ricky Knight, a Green Party councillor who put forward the motion, said he wanted ""to address the problems of climate change"".
The proposal was heavily defeated with all members voting against except for Mr Knight and his Green Party colleague who seconded the motion.
The motion asked the council to serve fully plant-based food and drink at internal meetings and events and for plant-based options to be prioritised and promoted throughout the district. 
It also called for the council to work with local farmers to support a move towards production of plant-based produce.
Mark Weekes, a Devon sheep farmer, said the proposal was ""ridiculous"".
He said: ""Here in north Devon it's absolutely idiotic to think we could have a completely plant-based council.
""Our great farmers work incredibly hard to produce sustainable and well-priced healthy food. Meat, above all else, is one of the highest, densest sources of protein that you can eat.""
David Chugg, a north Devon farmer and Devon NFU deputy chairman, said: ""I think it's very disappointing it's got to this stage. 
""Everyone should make their own decision on what they want to eat or not eat.""
Robin Milton is the Independent councillor for Bishops Nympton ward but was not allowed to vote on the proposal due to his position as a livestock farmer.
He said: ""North Devon is a very rural area that is based around livestock farming predominantly and the potential to go for entirely plant-based production is virtually impossible here.
""The environmental impacts would be huge, the jobs impacts would be huge and the impacts on the landscape, our tourism, everything that's great about north Devon would be challenged.""
During the meeting, David Worden, Liberal Democrat member for South Molton, said the proposal was ""a slap in the face for farmers"".
Liz Bulled, Conservative member for North Molton, said livestock farming was ""the bedrock of north Devon"" and said people needed ""freedom of choice to eat what we want to eat"".
Local authorities like Exeter 
 at meetings and events.
Michaela Andrews from the Plant-Based Councils campaign group is trying to get more councils to switch to vegan catering.
She wanted councils to ""lead by example"" and ""show this is a clear solution to the climate crisis"".
Ms Andrews said eight councils in England had switched to plant-based catering and said this had sent ""a powerful message to the world that this is the way we need to be heading as a  society"".
Mr Knight said he hoped the proposal would help North Devon Council ""to continue its conversation"" with farmers in the area.
",,bbc,Farmers rebel against plant-based council plan,
,"Farm incomes in Northern Ireland almost halved in 2023, new figures from the Department of Agriculture, Environment and Rural Affairs (Daera) show.
The 
 that total income from farming (TIFF) fell from £609m in 2022 to £341m in 2023 - a reduction of 44%.
TIFF is the return on own labour, management input and own capital invested.
Farmers bought less fertiliser and lime in 2023, but spent more on feedstuffs, which accounted for more than half the total value of gross snputs.
Across all farm types, 
 by 46% a farm from an average £51,043 in 2022-23 to £27,345 in 2023-24.
The reductions are expected mainly in cereal (-80%) and dairy farming (-70%).
But increased pig prices mean incomes from pig farms are expected to rise by 84% in 2023-24.
Higher beef prices also mean incomes from cattle and sheep in less favoured areas - a classification of land that is not as productive - and cattle and sheep in lowland farms are expected to increase by 8% and 3% respectively.
The agriculture and environment minister said fluctuating market conditions were not a new problem, but remained a ""very difficult"" issue for farmers.
Andrew Muir added that fluctuations were mainly due to price influences in world markets which are outside Daera's control. 
""Consequently, my department focuses effort on helping farmers mitigate cost and price pressures by improving their productivity and resilience, while also addressing their environmental sustainability levels,"" he said.
""These are the goals of our new farm support and development programme.""
Mr Muir also said the College of Agriculture, Food and Rural Enterprise in Antrim continued to offer ""relevant training and support to farmers"".
Total gross output for agriculture fell to £2.87bn in 2023, almost a third of which was comprised of dairying (£892m).
The amount of milk produced and the price per litre it attracted also fell.
Intensive sectors - poultry, eggs and pig production - all saw increases in the value of their output, although production fell in the pig and egg sectors.
",,bbc,Farm incomes in NI dropped by 44% in 2023,
,"A young farmer from County Londonderry who lost his sight in one eye in a farm accident has told BBC News NI that it will not stop him doing what he loves.
Ryan Taggart, 21, was working for an agricultural contractor in Shropshire when he suffered the life-changing injury.
He was 19 when he was hit in the eye with a small piece of metal while working on machinery.
New figures from the 
 show that eight people were killed on Northern Ireland's farms between April 2023 and March 2024. 
In GB, 27 people were killed in agricultural-related activities, according to the HSE. 
“I was changing the shoe of a sub-soiler and I took the roll pin out and the shoe wouldn't come off, so I hit it with a hammer,” Mr Taggart told BBC News NI.
""A bit of metal fragmented off the shoe and went into my eye.”
The shrapnel cut through Mr Taggart's eye, scarring the retina.
He says he is only able to make out shapes and light in his right eye, but is “very lucky” not to have lost his eye. 
""You think it could never happen to you, but at the end of the day things like this do happen to people,"" he said.
This week marks the 12th year of Farm Safety Week, an annual campaign organised by the 
 (Yellow Wellies) across the UK and Ireland.
HSE NI said almost 50% of the reported work place deaths in 2023/2024 were farm related. 
Robert Kidd, chief executive of HSENI says that while every death is an ""absolute tragedy"", over the last 12 years ""the figures are much improved"".
""We have seen years where there were more young people died as a result of accidents,"" he added.
""Thankfully, in the last couple of years that has been greatly improved, but we are still aware that there's a lot to be done and certainly eight fatalities last year is hugely disappointing. 
""The contribution farming makes both to the economy and to a rural community is is very important and we don't want to see any loss or any families grieving."" 
After several surgeries, Mr Taggart has continued to work full-time in farming, and returned home last year to work on his uncle’s dairy farm outside Kilrea.
While the accident means he “looks at life in a different way”, a career change was never really an option.
“It took me a while to get over it, but you don't want to stop doing something you love,"" he said.
“You just have to deal with it. 
""I don't think anyone could have stopped me from doing it.
“Why should it stop me doing what I love?” he said.
“It happened me when I was 19 years old; if I get another 60 years I’ll be doing well. 
""There’s no point looking back when you’ve your whole life to look forward to.”
Mr Taggart says he made “a lot of adjustments” after his accident and is now risk aware.
The 21-year-old believes farmers can learn from people working in other sectors, such as construction.
“Farming is normally seen as a family business and it’s not looked at as a proper business which creates added risk,” he said.
HSENI said ""farming is a unique situation"" compared to other industries with young people often living in the workplace and people working beyond retirement age. 
Mr Kidd said they were particularly concerned about the amount of older people being killed on farms with the youngest fatality last year in their 60s and some in their 70s and over 80.
""It suggests there might be a complacency or perhaps that farmers are thinking they're still as able as they were 30-40 years ago and they're just not as quick and agile.
""We're now putting a big focus on those older farmers.""
Ryan’s story shows how a split-second decision can have long-lasting consequences.  
Despite his sight loss, he is lucky.  
Eight deaths in a year are still eight too many, and life-changing injuries can affect more than the person who suffers them.  
Farms are not like other businesses – almost 80% of the 26,131 in Northern Ireland are classed as very small, run by families.  
And that often means one farmer working alone with no staff and certainly no health and safety officer or risk assessor.  
Sometimes there isn’t anyone to help with tasks on the farm which can heighten the risk when working with animals, equipment, slurry or at a height.  
The ageing profile of farmers – now on average in their late 50s – also brings its own challenges.  
So campaigns like Farm Safety Week still play a part in saving lives.
",,bbc,Young farmer 'lucky not to lose eye' after accident,
,"Thousands of people have gathered in East Yorkshire for the Driffield Show.
The annual agricultural event is celebrating its 148th edition.  
Attractions include a display of horses trained for TV shows, such as Peaky Blinders, Emmerdale and All Creatures Great and Small.
The one-day show also features traditional livestock competitions, with awards for the best pigs, sheep and cattle.
Other highlights include dog and pony shows, a junior showjumping competition, craft sessions and gardening classes.
The Driffield Showground, which is open until 18:00 BST, also has food stalls and commercial stands highlighting the latest farming technology.
, 
,
 
",,bbc,In pictures: Show celebrates farming community,
,"A Somerset farmer says he has been left frustrated by Avon and Somerset Police's decision to temporarily redeploy members of its Rural Crime Team over the summer.
Four officers from the team have been switched to helping support victims of domestic abuse. 
It leaves the rural crime team down to two staff members - an Inspector and a Police Community Support Officer (PCSO).
 The force says an increased demand for police services this time of year is behind the decision.
Jeremy Padfield, 56, farms in Stratton-on-the-Fosse. He is also the chairman of the Froome, Bath and North East Somerset branch of the National Farmers Union (NFU). 
He says: ""It's frustrating because we have worked very hard as the NFU and as a group of farmers with the rural crime team in Somerset. We've formed some good relationships, there's a lot of intel we feed into them.
""If it's (redeployment of officers) till the end of August then we can live with that. 
""Where it might just lag over in the next four or five weeks is around the follow-up procedures after crimes have taken place.""
Ch  Supt Elizabeth Hughes, Head of Neighbourhood and Partnerships, said: ""We’re wholeheartedly committed to keeping our rural communities safe and responding to rural crime in all its forms, especially incidents which are in progress.
""Demand during the summer increases by around 20 per cent and last year, we saw incidents graded as requiring an immediate or priority response rise by around 30 per cent.
""We’ve learned from experience and will be adopting an approach which better spreads the workload across directorates to ease the pressure on any one team.
""This was not a decision I’ve taken lightly, but we must deploy our resources to meet demand and where the threat, harm and risk is highest.""
The force emphasised that responses to 999 calls will not be impacted, and that officers from their Neighbourhood Policing teams will assist the Rural Crime Team with ongoing enquiries during this period.
Given the redeployment, Mr Padfield told his fellow farmers to ""always be vigilant"".
""It probably takes me 15-20 minutes every day to go around and check all gates are locked and padlocked and all machinery is locked away in the barn safely,"" he said.
",,bbc,Rural crime policing change worries farmers,
