movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,3046235
霸王别姬,2,9.6,2250819
阿甘正传,3,9.5,2269342
泰坦尼克号,4,9.5,2309057
千与千寻,5,9.4,2357924
这个杀手不太冷,6,9.4,2393764
美丽人生,7,9.5,1388295
星际穿越,8,9.4,1977099
盗梦空间,9,9.4,2171447
楚门的世界,10,9.4,1832033
辛德勒的名单,11,9.5,1174249
忠犬八公的故事,12,9.4,1454852
海上钢琴师,13,9.3,1754585
三傻大闹宝莱坞,14,9.2,1945737
放牛班的春天,15,9.3,1378655
机器人总动员,16,9.3,1383919
疯狂动物城,17,9.2,2065478
无间道,18,9.3,1447587
控方证人,19,9.6,623778
大话西游之大圣娶亲,20,9.2,1603993
熔炉,21,9.3,976251
教父,22,9.3,1023725
触不可及,23,9.3,1189542
当幸福来敲门,24,9.2,1589388
寻梦环游记,25,9.1,1794978
末代皇帝,26,9.3,945637
龙猫,27,9.2,1328004
怦然心动,28,9.1,1922861
哈利·波特与魔法石,29,9.2,1273628
活着,30,9.3,899021
蝙蝠侠：黑暗骑士,31,9.2,1117991
指环王3：王者无敌,32,9.3,847824
我不是药神,33,9.0,2207190
乱世佳人,34,9.3,729927
飞屋环游记,35,9.1,1396649
素媛,36,9.3,724830
哈尔的移动城堡,37,9.1,1159894
十二怒汉,38,9.4,527763
让子弹飞,39,9.0,1790208
何以为家,40,9.1,1097198
海蒂和爷爷,41,9.3,682072
猫鼠游戏,42,9.1,1101515
摔跤吧！爸爸,43,9.0,1640214
天空之城,44,9.2,936340
鬼子来了,45,9.3,662410
少年派的奇幻漂流,46,9.1,1408104
钢琴家,47,9.3,687121
指环王2：双塔奇兵,48,9.2,796510
大话西游之月光宝盒,49,9.0,1277757
闻香识女人,50,9.1,942898
死亡诗社,51,9.2,787122
绿皮书,52,8.9,1747155
大闹天宫,53,9.4,467465
罗马假日,54,9.1,990408
黑客帝国,55,9.1,881760
指环王1：护戒使者,56,9.1,893857
天堂电影院,57,9.2,704913
教父2,58,9.3,587618
狮子王,59,9.1,893542
辩护人,60,9.2,620271
饮食男女,61,9.2,660250
搏击俱乐部,62,9.0,896122
本杰明·巴顿奇事,63,9.0,1035781
美丽心灵,64,9.1,806856
穿条纹睡衣的男孩,65,9.2,599676
窃听风暴,66,9.2,594558
情书,67,8.9,1187407
两杆大烟枪,68,9.1,628616
音乐之声,69,9.1,636492
西西里的美丽传说,70,8.9,1027310
看不见的客人,71,8.8,1344971
哈利·波特与死亡圣器(下),72,9.0,883562
阿凡达,73,8.8,1485469
拯救大兵瑞恩,74,9.1,680047
小鞋子,75,9.2,433101
飞越疯人院,76,9.1,571753
功夫,77,8.8,1217606
沉默的羔羊,78,8.9,944100
布达佩斯大饭店,79,8.9,1002252
哈利·波特与阿兹卡班的囚徒,80,9.0,788112
蝴蝶效应,81,8.9,991298
