movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,2393774
指环王3：王者无敌,2,9.3,847830
蝙蝠侠：黑暗骑士,3,9.2,1117999
指环王2：双塔奇兵,4,9.2,796515
七武士,5,9.3,211371
指环王1：护戒使者,6,9.1,893861
黑客帝国,7,9.1,881765
让子弹飞,8,9.0,1790215
进击的巨人 最终季 完结篇 前篇,9,9.5,86449
搏击俱乐部,10,9.0,896127
杀人回忆,11,8.9,766968
蝙蝠侠：黑暗骑士崛起,12,8.9,762001
勇敢的心,13,8.9,578389
攻壳机动队,14,9.1,150766
功夫,15,8.8,1217612
进击的巨人 最终季 完结篇 后篇,16,9.3,83480
阿凡达,17,8.8,1485477
超能陆战队,18,8.8,1071370
加勒比海盗,19,8.8,905720
纵横四海,20,8.8,448131
被解救的姜戈,21,8.8,644220
黑客帝国3：矩阵革命,22,8.8,468263
谍影重重3,23,8.8,439887
枪火,24,8.8,238753
东邪西毒：终极版,25,8.8,210317
终结者2：审判日,26,8.8,359027
新龙门客栈,27,8.7,469939
疯狂的麦克斯4：狂暴之路,28,8.7,575443
黑客帝国2：重装上阵,29,8.7,426719
谍影重重2,30,8.7,371942
头号玩家,31,8.6,1429515
釜山行,32,8.6,1263552
东邪西毒,33,8.6,601309
英雄本色,34,8.6,569586
黑鹰坠落,35,8.7,297225
切腹,36,9.4,49413
蜘蛛侠：平行宇宙,37,8.6,707944
暗战,38,8.6,261767
谍影重重,39,8.6,452240
蝙蝠侠：侠影之谜,40,8.6,431300
霍比特人3：五军之战,41,8.6,397779
乱,42,8.9,96270
复仇者联盟4：终局之战,43,8.5,1102688
精武英雄,44,8.6,153082
勇闯夺命岛,45,8.6,255677
神探,46,8.5,322817
角斗士,47,8.6,231589
守望者,48,8.6,223958
黄海,49,8.5,243196
霍比特人1：意外之旅,50,8.5,425404
变脸,51,8.5,390787
速度与激情5,52,8.5,378474
霍比特人2：史矛革之战,53,8.5,378237
速度与激情7,54,8.4,488443
国产凌凌漆,55,8.4,428319
疯狂的赛车,56,8.4,410939
王牌特工：特工学院,57,8.4,692229
钢铁侠,58,8.4,623992
启示,59,8.7,108981
小萝莉的猴神大叔,60,8.4,485996
蜘蛛侠：纵横宇宙,61,8.4,455557
碟中谍4,62,8.4,447152
加勒比海盗2：亡灵的宝藏,63,8.4,442488
加勒比海盗3：世界的尽头,64,8.4,413802
用心棒,65,9.0,56192
黄飞鸿,66,8.4,194289
英雄本色2,67,8.4,191486
